Symbol,CompanyName
RELIANCE.NS,Reliance Industries Limited
TCS.NS,Tata Consultancy Services Limited
HDFCBANK.NS,HDFC Bank Limited
INFY.NS,Infosys Limited
HINDUNILVR.NS,Hindustan Unilever Limited
ICICIBANK.NS,ICICI Bank Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
SBIN.NS,State Bank of India
BAJFINANCE.NS,Bajaj Finance Limited
BHARTIARTL.NS,Bharti Airtel Limited
WIPRO.NS,Wipro Limited
HCLTECH.NS,HCL Technologies Limited
ASIANPAINT.NS,Asian Paints Limited
MARUTI.NS,Maruti Suzuki India Limited
LT.NS,Larsen & Toubro Limited
AXISBANK.NS,Axis Bank Limited
ULTRACEMCO.NS,UltraTech Cement Limited
BAJAJFINSV.NS,Bajaj Finserv Limited
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
TITAN.NS,Titan Company Limited
NESTLEIND.NS,Nestle India Limited
POWERGRID.NS,Power Grid Corporation of India Limited
M&M.NS,Mahindra & Mahindra Limited
INDUSINDBK.NS,IndusInd Bank Limited
NTPC.NS,NTPC Limited
TECHM.NS,Tech Mahindra Limited
ITC.NS,ITC Limited
LTIM.NS,L&T Infotech Mindtree Limited
DRREDDY.NS,Dr. Reddy's Laboratories Limited
CIPLA.NS,Cipla Limited
